Country,Continent,Animal fats,Cereals - Excluding Beer,Fish Seafood,Fruits - Excluding Wine,Miscellaneous,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Obesity,Animal products total,Deaths
Mauritius,Africa,1.4559,3.2471,1.0457,0.1501,0.1001,2.8418,0.055,1.566,0.2502,0.3452,0.025,0.9856,0.2702,37.1041,29.9945,0.1751,11.5,20.3883,0.000790514
Mexico,South America,3.2525,6.4604,0.4661,0.5305,0.005,4.3433,0.2182,1.185,0.238,0.2529,0.0248,0.2033,0.7437,26.2234,16.3419,0.2429,28.4,39.2681,0.129731126
Mongolia,Asia,5.5153,2.7445,0.0315,0.042,0.0525,9.0628,0.6717,0.1259,0.0105,0.0052,0.042,1.6373,0.0787,13.0982,8.2231,0.1417,19.6,58.5171,5.95E-05
Montenegro,Oceania,3.8887,3.7312,0.3473,0.3688,0.1003,12.5363,0.0752,0.5837,0.0788,0.043,0.0251,2.5531,0.8415,17.2163,8.6332,0.2578,24.9,48.7199,0.134405145
Morocco,Africa,3.5807,7.1539,1.2329,0.7014,0.0074,2.2296,0.2289,0.7309,0.1477,0.3987,0.096,0.1993,1.9048,34.5736,22.9457,0.2953,25.6,23.5733,0.023311638
Mozambique,Africa,1.1197,8.8101,0.849,0.1846,0.0369,2.0795,0.1107,1.1936,0.7014,0.0246,0.849,0.0984,0.8244,38.4152,25.5199,0.16,6,19.023,0.00144709
Myanmar,Asia,3.0066,3.8192,2.5441,0.275,0.0375,1.2814,0.1563,5.1194,0.6938,0.5313,0.0625,0.025,0.2688,23.953,12.7453,0.2938,5.7,45.1056,
Namibia,Africa,3.3171,6.802,0.6075,0.2798,0.0959,4.548,0.2078,0.8792,0.4316,0.4236,0.5915,0.5995,0.1199,33.2667,22.9078,0.1359,15,24.7863,0.014600551
Nepal,Asia,3.3076,7.1664,0.1563,0.5513,0.0082,5.4139,0.1563,0.4525,0.5513,1.1437,0.1975,0.2468,0.5019,37.8147,26.2136,0.6006,3.8,15.3283,0.006784238
Netherlands,Europe,6.6484,1.2702,0.7451,0.3475,0,10.3934,0.027,0.3591,0.0309,0.1235,0.0849,0.0541,1.498,19.8525,15.8449,0.2355,23.1,42.4848,0.08283048
New Caledonia,Oceania,3.6599,5.0979,0.8385,0.2222,0.2851,5.0476,0.0755,3.3036,0.0293,0.0629,0.0335,1.3961,0.2557,27.7282,16.8532,0.1887,,34.9222,
New Zealand,Oceania,13.9753,1.3271,0.6485,0.3049,0,4.2948,0.0601,2.0228,0.0773,0.0859,0.0687,0.0945,1.3357,15.8736,10.2689,0.2835,32,49.2784,0.000501303
Nicaragua,South America,2.3309,9.2369,0.4174,0.1339,0.1102,6.5123,0.1102,1.9214,0.4646,0.0079,0.1024,0.4252,0.0315,32.0104,19.3952,0.1811,21.8,26.6084,0.00257732
Niger,Africa,2.6573,12.436,0.1353,0.2416,0.0097,4.3193,0.1836,13.4216,1.4398,0.3479,0.0483,0.029,0,39.0279,10.5904,0.4445,4.7,14.6681,0.000682128
Nigeria,Africa,0.8078,7.1082,0.5957,0.3433,0.0101,0.4645,0.0909,4.3922,0.4241,0.4746,1.2621,0.0404,0.2322,44.9818,30.1494,0.5452,7.8,8.0775,0.000798972
North Macedonia,Europe,7.1263,1.9013,0.2371,0.4112,0.0435,4.8476,0.15,2.0174,0.1355,0.4886,0.0774,1.7078,1.1708,30.3628,21.6642,0.745,23.9,26.9134,0.140192308
Norway,Europe,6.4445,1.9601,1.5545,0.4055,0.3244,7.4043,0.0541,1.7032,0.0912,0.0473,0.0473,1.6796,0.8888,22.7806,15.4642,0.1656,25,38.9848,0.010803787
Oman,Asia,2.3712,3.7744,0.929,0.7926,0.0325,9.6407,0.2144,1.1174,0.1689,0.7276,0.039,1.0979,0.6107,26.3821,17.4495,0.5782,22.9,34.0739,0.032505835
Pakistan,Asia,8.9701,4.2124,0.0818,0.1227,0.0068,11.5125,0.1431,1.0906,0.2726,0.2249,0.0341,0.0204,0.1909,25.1789,18.8603,0.075,7.8,28.9415,0.005416403
Panama,South America,9.1864,3.8355,0.8614,0.5722,0.132,5.7281,0.1823,1.4273,0.1509,0.0377,0.0566,1.0375,0.4339,24.0317,16.2412,0.1258,22.5,35.9594,0.127363997
Paraguay,South America,3.8811,4.9807,0.1742,0.3974,0.0272,3.7069,0.2558,2.0576,0.2123,0.0218,0.5552,0.5334,0.0163,30.1889,21.2672,0.1198,19,31.6041,0.038690558
Peru,South America,1.1055,5.5879,1.9497,1.6382,0.0302,5.608,0.4322,2.5628,0.603,0.0704,0.6834,0.4523,0.2312,31.9598,19.6482,0.4523,19.1,26.9849,0.127751036
Philippines,Asia,7.3714,3.4748,1.6045,0.7243,0.0275,0.5684,0.2751,2.2371,0.055,0.0642,0.22,0.3576,0.7701,20.2439,11.9281,0.3576,6,49.7021,0.010138619
Poland,Europe,12.3719,1.6183,0.4851,0.2057,0,5.86,0.0078,0.4967,0.031,0.0427,0.1087,0.0737,0.4385,17.254,13.9747,0.2639,25.6,46.7673,0.101631568
Portugal,Europe,9.5983,2.1808,1.0267,0.2825,0.0138,4.5442,0.1378,0.4203,0.0689,0.0413,0.0586,1.354,0.7648,23.5444,18.0803,0.2825,23.2,37.6008,0.13607021
Republic Of Moldova,Europe,6.8551,2.557,0.6921,0.2987,0.0656,7.5326,0.1238,0.2841,0.0291,0.0146,0.0874,0.8305,0.1093,23.472,18.8388,0.357,20.1,37.8525,0.099858557
Romania,Europe,6.8987,2.5519,0.1994,0.293,0.0366,10.6349,0.1221,0.5495,0.0407,0.4965,0.1099,0.8506,0.6797,22.56,16.512,0.4477,24.5,37.0167,0.097754794
Russian Federation,Europe,7.2,1.6511,0.9415,0.2138,0.0091,6.8453,0.1455,0.7823,0.0546,0.0273,0.141,0.4184,0.1274,22.064,18.3753,0.2638,25.7,40.7396,0.051120062
Rwanda,Africa,1.0364,4.8545,0.6364,9.6727,0.0182,3.7818,0.2364,3.6545,2.6909,0.0545,2.1636,0.0545,0.0182,38.9091,15.5091,0.2545,4.8,16.4545,0.001675417
Saint Kitts And Nevis,North America,4.737,2.0602,0.7296,0.3596,0.1439,3.7916,0.1233,2.9028,0.1541,0.2055,0.0462,0.1798,0.5189,25.7039,19.0043,0.1233,23.1,39.216,0
Saint Lucia,Europe,3.813,1.6712,1.5867,0.3741,0.1629,4.3137,0.2353,2.4012,0.181,0.4163,0.0965,0.9894,0.5551,16.6516,9.6531,0.1508,19.8,56.7481,0.00989011
Saint Vincent And The Grenadines,Europe,1.085,4.3274,0.715,0.7526,0.2258,4.2521,0.1254,0.6773,0.2759,1.2919,0.1756,1.7184,0.4516,25.5315,15.3904,0.2509,23.8,42.7532,0.002702703
Samoa,Oceania,4.778,1.5771,1.8968,0.6287,0.0683,1.4693,0.0683,16.8666,0,0.115,0.3341,0.291,0.0611,28.3194,8.3345,0.0431,45.5,35.1451,0
Sao Tome And Principe,Africa,0.6241,2.9864,1.4361,1.2013,0.0537,0.9731,0.0134,20.7704,0.1342,0.0336,0.1544,0.0738,0.0268,42.6616,17.1666,0.0738,10.6,11.6167,0.008571429
Saudi Arabia,Asia,2.6475,5.2126,0.4122,0.4219,0.0873,4.4125,0.097,0.6207,0.1794,0.48,0.0291,1.251,0.7128,34.607,25.4182,0.1891,35,23.2216,0.018255758
Senegal,Africa,0.7876,5.7374,0.7129,0.0815,0.0068,0.9845,0.1222,3.9041,0.1222,0.1697,0.0543,0.2037,0.387,43.9028,33.0391,0.1901,7.4,9.5939,0.004031295
